ref_number,title,company,location,job_type,priority,eligibility,published,match_score,verdict,matched_skills,missing_skills,reason,link,scraped_at
19236-k58963.1472-S,Werkstudent (m/w/d) IT Operations & AI Automation,SEC Service Enterprise Consulting GmbH,"Walldorf, Baden",Werkstudent,1,eligible,2026-08-03,82,Apply Now,"Python, SQL, Power BI, Microsoft 365, Odoo, ERP, Prompt Engineering, AI Automation, Künstliche Intelligenz, KI-gestützte Prozessautomatisierung, MS Copilot, Google Gemini, Claude, ChatGPT, Prompt basierte Programmierung","Gute Kenntnisse in Power Platform, GenAI-Technologien, Datenanalyse, Administration von Microsoft 365","The CV shows experience with Python, SQL, and Power BI, as well as knowledge of Microsoft 365 and Odoo. However, it lacks experience with Power Platform and GenAI-Technologien, and does not demonstrate administration skills for Microsoft 365.",https://www.arbeitsagentur.de/jobsuche/jobdetail/19236-k58963.1472-S,2026-08-08 03:06
21046-16323399-S,Werkstudent (m/w/d) im Data & Software Engineering für IIot-Systeme,Eggersmann Gruppe GmbH & Co. KG / SO Halle,Aachen,Werkstudent,1,eligible,2026-08-05,82,Apply Now,"Python, SQL, AWS, Git, Docker, Data analysis, Machine Learning","Erfahrung im Umgang mit Cloud-Technologien, bevorzugt AWS, Erste Erfahrung mit Tools wie Git und Docker, relationale Datenbanken","The CV shows experience with Python, SQL, and AWS, which are all required. However, the CV lacks experience with cloud technologies, specifically AWS, and relational databases, which are also required.",https://www.arbeitsagentur.de/jobsuche/jobdetail/21046-16323399-S,2026-08-08 03:06
14319-00055c0406c001-S,Werkstudent (m/w/d) im IT-Service-Management/Incident Management,KKH Kaufmännische Krankenkasse,Hannover,Werkstudent,1,eligible,2026-08-07,82,Apply Now,"Python, SQL, Git, GitHub, Docker, Linux, Jupyter Notebook, Google Colab, Power BI, AWS RDS, FastAPI, Node.js, Express, MongoDB, REST APIs, CI/CD, Data Engineering, BI, Data Analysis, Data Science, Machine Learning, Artificial Intelligence, NLP, LLMs, Speech AI, End-to-End ML Systems","ITIL, Umgang mit ITSM-Tools, Analytischer Blick, Praxisorientierte Lösungen, Ergebnisse verständlich vermitteln","The CV shows a strong overlap in skills, particularly in data analysis, machine learning, and IT service management. However, the CV lacks direct experience with ITIL, ITSM tools, and presenting results in a clear and understandable manner, which are essential requirements for this role.",https://www.arbeitsagentur.de/jobsuche/jobdetail/14319-00055c0406c001-S,2026-08-08 03:08
12462-1606438-1-S,Werkstudent AI & Digitalisierung im Bereich Kreislaufwirtschaft (w/m/x),BMW AG,München,Werkstudent,1,eligible,2026-08-04,82,Apply Now,"Python, SQL, Datenanalyse, Power BI, Power Platform, GenAI-Technologien, TensorFlow, Keras, PyTorch, BERT, XLM-RoBERTa, LangChain, GPT-4, Prompt Engineering, TF-IDF, NER, CRF, Whisper, Wav2Vec2, HuBERT, HiFi-GAN, OpenCV, Git, GitHub, Docker, Linux, Jupyter Notebook, Google Colab, PostgreSQL, SQL data warehouse modelling, ETL pipelines, FastAPI, Node.js, Express, MongoDB, REST APIs, CI/CD","Automotive Engineering, Robotics, Fähigkeit, aus offenen Fragestellungen Lösungen abzuleiten, zu entwickeln und umzusetzen, Strukturierte, pragmatische und ergebnisorientierte Arbeitsweise mit Freude am Prototyping und Ausprobieren neuer Ansätze","The CV shows a strong overlap in Python, SQL, and data analysis skills. However, it lacks experience in automotive engineering and robotics, and the CV does not demonstrate the ability to derive solutions from open-ended questions.",https://www.arbeitsagentur.de/jobsuche/jobdetail/12462-1606438-1-S,2026-08-08 03:07
13151-1605918-1-S,Werkstudent AI Security - Research & Evaluation (d/m/w/x),Mercedes-Benz Group AG,Berlin,Werkstudent,1,eligible,2026-08-03,82,Apply Now,"Python, Git, GitHub, SQL, Power BI, Data analysis, Automated tests, CI/CD, DevSecOps, Künstliche Intelligenz, Data Science, Software Engineering, Wirtschaftsinformatik, JavaScript, APIs","TypeScript, Go, Authentifizierungs- und Autorisierungskonzepte, Webservices","The CV shows a strong overlap in Python, Git, GitHub, SQL, and Power BI. However, the CV lacks experience with JavaScript, TypeScript, Go, and specific authentication and authorization concepts, which are required for the role.",https://www.arbeitsagentur.de/jobsuche/jobdetail/13151-1605918-1-S,2026-08-08 03:07
12728-245824-1-S,Werkstudent Customer Interaction Analytics (m/w/d/),E WIE EINFACH GmbH,Köln,Werkstudent,1,eligible,2026-08-05,82,Apply Now,"SQL, Power BI, Python, Data analysis, Datenanalyse, KI-Plattformen, KI-Anwendungen, Storytelling, Neugier, strukturierte Arbeitsweise, Analytisches Denken","Gute Kenntnisse in Power Platform, GenAI-Technologien, B2 Deutschkenntnisse","The CV shows experience with SQL, Power BI, and Python, which are all relevant to the job posting. However, the CV lacks experience with Power Platform and GenAI-Technologien, which are required for the role.",https://www.arbeitsagentur.de/jobsuche/jobdetail/12728-245824-1-S,2026-08-08 03:07
13151-1608635-1-S,Werkstudent*in Digital Factory Campus Berlin für Digitale Produktionsprozesse,Mercedes-Benz Group AG,Berlin,Werkstudent,1,eligible,2026-08-06,82,Apply Now,"Python, SQL, TensorFlow, Keras, PyTorch, BERT, DistilBERT, XLM-RoBERTa, Hugging Face Transformers, LangChain, GPT-4, Claude APIs, Prompt Engineering, TF-IDF, NER, CRF, Whisper, Wav2Vec2, HuBERT, HiFi-GAN, OpenCV, Git, GitHub, Docker, Linux, Jupyter Notebook, Google Colab, PostgreSQL, SQL data warehouse modelling, ETL pipelines, Power BI, AWS RDS, FastAPI, Node.js, Express, MongoDB, REST APIs, CI/CD","Microsoft 365 (Teams, SharePoint, PowerPoint), Confluence, Web-Technologien (HTML/CSS)","The CV shows experience with Python, SQL, and various ML frameworks, which aligns with the job requirements. However, the CV lacks experience with Microsoft 365 and Confluence, which are required for the role.",https://www.arbeitsagentur.de/jobsuche/jobdetail/13151-1608635-1-S,2026-08-08 03:07
10001-1003494896-S,Werkstudentin/Werkstudent (m/w/d) Microsoft Data Analytics & AI (DA&AI),Prodware Deutschland AG,Hamburg,Werkstudent,1,eligible,2026-08-05,82,Apply Now,"Python, SQL, Power BI, Azure AI, AI Agents, Machine Learning, Generative AI, Copilot-Lösungen, Microsoft Fabric, Databricks, Snowflake, Power BI, SQL, Python","Gute Kenntnisse in Power Platform, Erste Berührungspunkte mit modernen Data-&-AI-Plattformen wie Azure AI Foundry oder Copilot Studio","The CV shows experience with Python, SQL, and Power BI, which are all required. However, the CV lacks experience with Power Platform and modern Data-&-AI-Plattformen like Azure AI Foundry or Copilot Studio, which are also required.",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003494896-S,2026-08-08 03:06
10001-1003494700-S,Werkstudentin/Werkstudent (m/w/d) Microsoft Data Analytics & AI (DA&AI),Prodware Deutschland AG,"Germering, Oberbayern",Werkstudent,1,eligible,2026-08-05,82,Apply Now,"Python, SQL, Power BI, Azure AI, Data Engineering, Cloud-Technologien, Machine Learning, Generative AI, Copilot-Lösungen, Microsoft Fabric, Databricks, Snowflake, Power BI, SQL, Python","Gute Kenntnisse in Power Platform, GenAI-Technologien, Azure AI Foundry, Copilot Studio","The CV shows experience with Python, SQL, and Power BI, which are all required. However, the CV lacks experience with Power Platform, GenAI-Technologien, Azure AI Foundry, and Copilot Studio, which are also required.",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003494700-S,2026-08-08 03:06
14842-k37591.1884-S,AI-assisted Intelligent Process Optimization of 3D metal printing,Hahn-Schickard-Gesellschaft für angewandte Forschung e.V.,Freiburg im Breisgau,Praktikum,1,eligible,2026-08-07,74,Worth Considering,"Python, Machine Learning, Data Science, Statistics, Optimization Methods, Bayesian Optimization","Microsystems Engineering, Mechanical Engineering, Robotics, Mechatronics, Electrochemical Energy Systems, Autonomous Fluidic Robots, 3D Printing of Electronics","The CV shows a strong overlap in machine learning and data science skills, particularly with Python. However, the CV lacks experience in microsystems engineering, mechanical engineering, and other related fields required for the role.",https://www.arbeitsagentur.de/jobsuche/jobdetail/14842-k37591.1884-S,2026-08-08 03:06
12462-1608579-1-S,FG-764 / Praktikant/in (Pflicht) Data & Analytics OtD,BMW AG,München,Praktikum,1,eligible,2026-08-06,74,Worth Considering,"Python, SQL, AWS, Terraform, Data Engineering, ETL-Prozessen, Data Analytics, Power BI, Datenvisualisierung","Angular, Gute Kenntnisse in GenAI-Technologien","The CV shows experience with Python, SQL, and AWS, which are all relevant to the job posting. However, the CV lacks experience with Angular and GenAI-Technologien, which are also required by the posting.",https://www.arbeitsagentur.de/jobsuche/jobdetail/12462-1608579-1-S,2026-08-08 03:06
12745-961537731-S,"Mandatory Internship – Cybersecurity Reporting, Training & Awareness",Continental AG,Hannover,Praktikum,1,eligible,2026-08-04,74,Worth Considering,"Power BI, SQL, Python, Microsoft 365, Sharepoint, Teams, Data Analysis Tools, English, German","Operating Systems, Competent handling of MS-Office, Knowledge of Microsoft 365, Data Analysis Tools (e.g. SQL, Python) - Note: CV has Python, but not SQL as a separate skill, and it's not clear if it's a requirement for the role, Excellent communication and stakeholder engagement skills, Strong training development skills","The CV shows a good overlap in skills such as Power BI, SQL, and Python, but lacks specific knowledge of Operating Systems and competent handling of MS-Office, which are required for the role. Additionally, the CV does not demonstrate strong training development skills, which is a key responsibility of the position.",https://www.arbeitsagentur.de/jobsuche/jobdetail/12745-961537731-S,2026-08-08 03:07
12462-1608581-1-S,Praktikant Energiemanagement und Datenanalyse (w/m/x),BMW AG,München,Praktikum,1,eligible,2026-08-06,74,Worth Considering,"Power BI, SQL, Datenanalyse, Energie, Datenverarbeitung, Python, Low-Code- und No-Code-Anwendungen, KI-Unterstützung","Wirtschaftsingenieurwesen, Ingenieurswissenschaften, prozesstechnische Zusammenhänge, Team- und Kommunikationsfähigkeit, Verhandlungssichere Deutschkenntnisse","The CV shows experience with Power BI and SQL, as well as a strong background in data analysis. However, it lacks a degree in Wirtschaftsingenieurwesen or Ingenieurswissenschaften, and the CV does not demonstrate prozesstechnische Zusammenhänge or Verhandlungssichere Deutschkenntnisse.",https://www.arbeitsagentur.de/jobsuche/jobdetail/12462-1608581-1-S,2026-08-08 03:07
13151-1606535-1-S,Praktikant*in Data Science & Analytics Global Market Intelligence (Pflicht-Praktikum),Mercedes-Benz Group AG,Stuttgart,Praktikum,1,eligible,2026-08-03,74,Worth Considering,"Python, R, SQL, Power BI, Tableau, Databricks, Copilot, Data Analysis, Statistical Methods, Marktforschungsdesigns, Data-Analytics-Konzepte","Gute Kenntnisse in GenAI-Technologien, Erfahrung mit KI-Agenten (z.B. Copilot) wünschenswert","The CV shows experience with Python, SQL, and Power BI, which are required skills. However, the CV lacks experience with GenAI-Technologien and KI-Agenten, which are also required skills.",https://www.arbeitsagentur.de/jobsuche/jobdetail/13151-1606535-1-S,2026-08-08 03:06
19801-961371237-S,Praktikum – Digitale Business Transformation (KI & Analytics),AUMOVIO SE Haupverwaltung,Frankfurt am Main,Praktikum,1,eligible,2026-08-03,74,Worth Considering,"MS Office, Excel, PowerPoint, Power BI, SQL, data analysis, English, Fließende Englischkenntnisse","Wirtschaftsinformatik, Wirtschaftswissenschaften, Betriebswirtschaftslehre, Datenanalyse, GenAI-Technologien","The CV shows experience with MS Office, Excel, and Power BI, which matches the job posting's requirements. However, the CV lacks a degree in Wirtschaftsinformatik, Wirtschaftswissenschaften, or Betriebswirtschaftslehre, and also lacks experience with GenAI-Technologien.",https://www.arbeitsagentur.de/jobsuche/jobdetail/19801-961371237-S,2026-08-08 03:07
12465-1606548-1-S,SH_Praktikum - Clinical Operations & Digital Transformation Consulting,Siemens AG,Berlin,Praktikum,1,eligible,2026-08-03,74,Worth Considering,"Python, SQL, Power BI, Data analysis, Digital transformation, Clinical operations, Business development, Project management, Data analysis, Datenanalyse","Gute Kenntnisse in Power Platform, GenAI-Technologien, Wirtschaftswissenschaften, Wirtschaftsinformatik, Medizin, BWL, VWL, Gesundheitsökonomie, Medical Process Management, Management im Gesundheitswesen","The CV shows a good overlap in data analysis and digital transformation skills. However, it lacks experience with Power Platform and GenAI-Technologies, and the candidate's degree is not in a field directly related to the job posting.",https://www.arbeitsagentur.de/jobsuche/jobdetail/12465-1606548-1-S,2026-08-08 03:07
10001-1003508476-S,Werkstudent / Praktikant (m/w/d) Business Intelligence & Reporting,technotrans SE,"Sassenberg, Westfalen",Werkstudent,1,eligible,2026-08-07,74,Worth Considering,"Python, SQL, Power BI, PostgreSQL, Data Engineering, BI, Reporting","Gute Kenntnisse in Power Platform, GenAI-Technologien, Datenanalyse, IT-Projektmanagement","The CV shows a strong overlap in data engineering and BI skills, with experience in Python, SQL, and PostgreSQL. However, the CV lacks experience with Power Platform, GenAI-Technologien, and IT-Projektmanagement, which are required for this role.",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003508476-S,2026-08-08 03:07
16604-967129-008-S,Werkstudent AI und Process Automation (m/w/d),TKMS ATLAS ELEKTRONIK GmbH,Bremen,Werkstudent,1,eligible,2026-08-05,74,Worth Considering,"Python, SQL, TensorFlow, Keras, PyTorch, BERT, DistilBERT, XLM-RoBERTa, Hugging Face Transformers, LangChain, GPT-4, Claude APIs, Prompt Engineering, TF-IDF, NER, CRF, Whisper, Wav2Vec2, HuBERT, HiFi-GAN, OpenCV, Git, GitHub, Docker, Linux, Jupyter Notebook, Google Colab, PostgreSQL, SQL data warehouse modelling, ETL pipelines, Power BI, AWS RDS, FastAPI, Node.js, Express, MongoDB, REST APIs, CI/CD","Materialstammdatenmanagement, SAP-Grundkenntnisse, Wertschöpfungsketten, Microsoft Excel, Datenanalyse, Prozessoptimierung, KI-Anwendungen","The CV shows a strong overlap in skills such as Python, SQL, and deep learning frameworks like TensorFlow and PyTorch. However, the CV lacks experience in Materialstammdatenmanagement, SAP-Grundkenntnisse, and Wertschöpfungsketten, which are required for the role.",https://www.arbeitsagentur.de/jobsuche/jobdetail/16604-967129-008-S,2026-08-08 03:06
12811-2308119-S,"Werkstudent Business Intelligence & Power BI (m/w/d), Werk 2",WEH GmbH Verbindungstechnik,Illertissen,Werkstudent,1,eligible,2026-08-04,74,Worth Considering,"Power BI, DAX, Power Query, SQL, data analysis","Gute Kenntnisse in GenAI-Technologien, Wertvolle Praxiserfahrung für Deinen Berufseinstieg","The CV shows experience with Power BI, DAX, and Power Query, which are relevant to the job posting. However, the CV lacks experience with GenAI-Technologies and the posting requires a degree in a field the CV does not have (Wirtschaftsinformatik, Informatik, Data Science or einem vergleichbaren Studiengang), which is a disqualifying requirement.",https://www.arbeitsagentur.de/jobsuche/jobdetail/12811-2308119-S,2026-08-08 03:07
13151-1608668-1-S,Werkstudent*in Digitalisierung & KI sowie Prozessdesign im Qualitätsmanagement der Mercedes-Benz...,Mercedes-Benz Group AG,Sindelfingen,Werkstudent,1,eligible,2026-08-06,74,Worth Considering,"Python, SQL, Power BI, Power Apps, Microsoft 365, Data Analytics, Künstliche Intelligenz (KI), Analytisches Denkvermögen, strukturierte Arbeitsweise","Erste Erfahrungen mit Power Platform, Hohe Eigeninitiative, Freude am eigenverantwortlichen Arbeiten","The CV shows experience with Python, SQL, and Power BI, which are required skills. However, the CV lacks experience with Power Platform, which is a specific requirement mentioned in the job posting, and also lacks evidence of high initiative and enjoyment of independent work, which are also mentioned in the job posting.",https://www.arbeitsagentur.de/jobsuche/jobdetail/13151-1608668-1-S,2026-08-08 03:07
16604-966972-008-S,Working Student (m/f/d) Machinery Engineering Digitalization,tk UHDE GmbH,Dortmund,Werkstudent,1,eligible,2026-08-04,74,Worth Considering,"Python, SQL, Power BI, Docker, Git, GitHub","Maschinengruppe, Rotating Equipment, Polytrope Wirkungsgrade","The CV shows experience with Python, SQL, and Power BI, which are relevant to the job posting. However, the CV lacks experience with Maschinengruppe and Rotating Equipment, which are specific to the Machinery Engineering Digitalization role.",https://www.arbeitsagentur.de/jobsuche/jobdetail/16604-966972-008-S,2026-08-08 03:06
15861-44363252-86-S,Studentische Hilfskraft (m/w/d): Digitale Zwillinge für Batteriespeichersysteme,Fraunhofer-Gesellschaft e.V. Zentrale München,"Münster, Westfalen",Part-time,2,eligible,2026-08-07,83,Apply Now,"Python, SQL, PostgreSQL, Data Analysis, Machine Learning, Data Science, React, Next.js, MQTT, OPC UA","Gute Kenntnisse in Power BI, Gute Kenntnisse in Power Platform, GenAI-Technologien","The CV shows a strong overlap in Python, SQL, and data analysis skills, which are central to the role. However, the CV lacks experience with Power BI, Power Platform, and GenAI-technologies, which are also required for the position.",https://www.arbeitsagentur.de/jobsuche/jobdetail/15861-44363252-86-S,2026-08-08 03:07
18306-BB-635232-7878-1174-S,Trainee Aktuariat & Data Sciene (m/w/d),AXA Konzern AG,Köln,Trainee,2,eligible,2026-08-05,74,Worth Considering,"Python, SQL, Data Analysis, Power BI, Machine Learning, Deep Learning, NLP, Transformers, BERT, XLM-RoBERTa, GPT-4, LangChain, TensorFlow, PyTorch, Keras, Git, GitHub, Docker, Linux, Jupyter Notebook, Google Colab, PostgreSQL, AWS RDS, FastAPI, Node.js, Express, MongoDB, REST APIs, CI/CD","Snowflake, GenAI-Technologien, LGBM, GLM, Cloud-basierte Infrastruktur","The CV shows a strong overlap in machine learning and data analysis skills, with experience in Python, SQL, and various deep learning frameworks. However, the CV lacks experience with Snowflake, GenAI-Technologien, LGBM, and GLM, which are central to the role's requirements.",https://www.arbeitsagentur.de/jobsuche/jobdetail/18306-BB-635232-7878-1174-S,2026-08-08 03:06
12846-1551635-5-S,IT Trainee - Software Engineer/Developer,Commerzbank AG,Frankfurt am Main,Trainee,2,eligible,2026-08-07,0,Error,,,Could not evaluate.,https://www.arbeitsagentur.de/jobsuche/jobdetail/12846-1551635-5-S,2026-08-08 03:07
12117-YF-49072-YF-S,AI Enablement Engineer (all genders),Union Tank Eckstein GmbH & Co. KG,Kleinostheim,Full-time,3,eligible,2026-08-06,85,Apply Now,"Prompt Engineering, LLM workflows, Model Context Protocol (MCP), Generative AI, SQL, Power BI, Python, PyTorch, Hugging Face Transformers, GPT-4, LangChain, TensorFlow, Keras, PyTorch, BERT, DistilBERT, XLM-RoBERTa, Whisper, Wav2Vec2, HuBERT, HiFi-GAN, OpenCV, Git, GitHub, Docker, Linux, Jupyter Notebook, Google Colab, PostgreSQL, SQL data warehouse modelling, ETL pipelines, Power BI, AWS RDS, FastAPI, Node.js, Express, MongoDB, REST APIs, CI/CD, Agentic Multi-Agent Job Discovery System, RAG (FAISS), ATS keyword analysis, Containerised with Docker, Deployed to production on Render",Agentic AI,"The CV shows strong overlap in prompt engineering, LLM workflows, and Generative AI. However, the CV lacks experience with Agentic AI and RAG (FAISS) for ATS keyword analysis.",https://www.arbeitsagentur.de/jobsuche/jobdetail/12117-YF-49072-YF-S,2026-08-08 03:08
